transaction_id,transaction_type,amount,created_at,description,user_id
1,Withdrawal,682.24,18-02-2024 23:06:45,Treat by company.,6372
2,TRANSFER,244.34,23-04-2024 06:01:03,Tree people.,5151
3,Deposit,574.33,30-05-2024 06:15:43,Stuff sort must.,6474
4,Withdrawal,160.19,20-11-2024 11:04:57,Speak particular crime.,5660
5,Deposit,456.63,10-11-2024 20:15:21,Light high table.,9900
6,Deposit,478.21,30-06-2024 09:18:31,Away three option.,4481
7,Deposit,657.61,02-07-2024 20:50:16,Serious.,23
8,TRANSFER,579.21,13-08-2024 14:17:32,Fear him.,2569
9,TRANSFER,-19.14,13-07-2024 02:11:22,Nice huge.,6204
10,Withdrawal,854.26,29-03-2024 07:50:33,Exist Democrat common education.,456
11,Deposit,794.63,19-03-2024 14:58:12,Pretty weight.,7966
12,Withdrawal,677.34,06-03-2024 04:35:59,Community finally.,3018
13,Withdrawal,60.22,18-10-2024 16:21:46,Page fly mouth.,7276
14,TRANSFER,383.49,25-10-2024 18:46:42,During usually message.,9992
15,Deposit,63.45,04-02-2024 18:29:14,Both suggest.,1891
16,Withdrawal,-174.17,26-06-2024 22:48:18,Some kind.,8784
17,Withdrawal,920.72,26-02-2024 17:50:53,First change.,3648
18,Deposit,450.11,09-11-2024 12:21:44,Thought dinner cultural.,8405
19,Withdrawal,382.31,09-05-2024 05:20:21,Very world yeah.,9055
20,Deposit,253.20,31-07-2024 09:44:57,Art have decision still.,2059
21,Deposit,658.49,27-04-2024 07:50:09,Protect nothing always.,9992
22,Deposit,-353.54,12-03-2024 09:40:54,Work partner development.,8668
23,Withdrawal,582.07,25-08-2024 23:49:01,Whatever little.,2188
24,TRANSFER,870.41,27-09-2024 12:01:19,Six.,178
25,Withdrawal,988.40,25-08-2024 20:48:31,Table toward.,6922
26,Withdrawal,974.95,19-04-2024 08:21:14,Night thing.,8236
27,Deposit,309.55,29-10-2024 01:12:26,Sing.,2753
28,Withdrawal,131.90,09-03-2024 07:18:02,Also daughter.,3188
29,TRANSFER,-367.56,03-10-2024 23:31:09,Food morning number.,4578
30,Withdrawal,720.10,28-09-2024 17:06:53,Article someone near.,3597
31,Withdrawal,-359.72,26-05-2024 18:06:21,Eye voice.,1553
32,TRANSFER,610.53,30-10-2024 17:15:31,Country deal technology nearly.,1508
33,Deposit,522.88,01-07-2024 19:37:12,On game.,1707
34,Withdrawal,879.30,18-01-2024 23:27:13,Either soldier either.,565
35,Withdrawal,551.95,17-07-2024 07:39:51,Piece way mother.,2552
36,Withdrawal,155.78,22-09-2024 16:15:51,Value finish black.,2016
37,Deposit,364.42,19-03-2024 18:45:39,Check military talk.,2614
38,TRANSFER,755.19,01-07-2024 04:27:06,Already just.,9660
39,TRANSFER,-112.01,09-02-2024 19:49:49,Choose us.,2114
40,TRANSFER,538.42,26-01-2024 18:10:28,Information say third.,2468
41,TRANSFER,-316.27,27-02-2024 02:06:46,Against difference past.,8779
42,Deposit,370.96,29-08-2024 23:49:46,View.,1775
43,Deposit,575.86,02-10-2024 21:39:30,My stage.,2790
